-- Output from articles # 1
           slug            | visits
---------------------------+--------
 candidate-is-jerk         | 338647
 bears-love-berries        | 253801
 bad-things-gone           | 170098
 goats-eat-googles         |  84906
 trouble-for-troubled      |  84810
 balloon-goons-doomed      |  84557
 so-many-bears             |  84504
 media-obsessed-with-bears |  84383
 
 -- Output from authors
 
           name          | count
------------------------+--------
 Ursula La Multa        | 507594
 Rudolf von Treppenwitz | 423457
 Anonymous Contributor  | 170098
 Markoff Chaney         |  84557
 
 
-- Output of errors/requests per day

          day          | percent
-----------------------+---------
 Friday   , 07-01-2016 |   0.000
 Friday   , 07-08-2016 |   0.000
 Friday   , 07-15-2016 |   0.000
 Friday   , 07-22-2016 |   0.000
 Friday   , 07-29-2016 |   0.000
 Monday   , 07-04-2016 |   0.000
 Monday   , 07-11-2016 |   0.000
 Monday   , 07-18-2016 |   0.000
 Monday   , 07-25-2016 |   0.000
 Saturday , 07-02-2016 |   0.000
 Saturday , 07-09-2016 |   0.000
 Saturday , 07-16-2016 |   0.000
 Saturday , 07-23-2016 |   0.000
 Saturday , 07-30-2016 |   0.000
 Sunday   , 07-03-2016 |   0.000
 Sunday   , 07-10-2016 |   0.000
 Sunday   , 07-17-2016 |   2.000
 Sunday   , 07-24-2016 |   0.000
 Sunday   , 07-31-2016 |   0.000
 Thursday , 07-07-2016 |   0.000
 Thursday , 07-14-2016 |   0.000
 Thursday , 07-21-2016 |   0.000
 Thursday , 07-28-2016 |   0.000
 Tuesday  , 07-05-2016 |   0.000
 Tuesday  , 07-12-2016 |   0.000
 Tuesday  , 07-19-2016 |   0.000
 Tuesday  , 07-26-2016 |   0.000
 Wednesday, 07-06-2016 |   0.000
 Wednesday, 07-13-2016 |   0.000
 Wednesday, 07-20-2016 |   0.000
 Wednesday, 07-27-2016 |   0.000
